Id,Name,Zipcode Address,Address,State,Phone Number,Town,Lat,Lng,Link,Category,Zipcode,Business Name,Latitude,Longitude,Website
1,5 Points,,"756 S Stone Ave, Tucson, AZ 85701",Arizona,(520) 623 3888,Tucson,32.212219,-110.969093,https://www.5pointstucson.com/,Bar/Restaurant,,,,,
2,AJ's Fine Foods - Arcadia,,"4430 E Camelback Road, Phoenix, AZ 85018",Arizona,(602) 552 0956,Phoenix,33.50974,-111.986,https://www.ajsfinefoods.com/,Retail Store,,,,,
3,AJ's Fine Foods - Camelback,,"5017 N. Central Avenue, Phoenix, AZ 85012",Arizona,(602) 230 7015,Phoenix,33.50989,-112.07203,https://www.ajsfinefoods.com/,Retail Store,,,,,
4,AJ's Fine Foods - Glendale,,"20050 N 67th Ave, Glendale, AZ 85308",Arizona,(623) 537 2300,Phoenix,33.66584,-112.20315,https://www.ajsfinefoods.com/,Retail Store,,,,,
5,AJ's Fine Foods - Lincoln,,"7141 E Lincoln Drive, Phoenix, AZ 85253",Arizona,(480) 998 0052,Phoenix,33.53192,-112.00598,https://www.ajsfinefoods.com/,Retail Store,,,,,
6,AJ's Fine Foods - Lone Mountain,,"31311 N. Scottsdale Road, Scottsdale, AZ 85266",Arizona,(480) 575 6200,Phoenix,33.76897,-111.92453,https://www.ajsfinefoods.com/,Retail Store,,,,,
7,AJ's Fine Foods - Mesa,,"1836 S. Val Vista Drive, Mesa, AZ 85204",Arizona,(480) 507 7280,Phoenix,33.38201,-111.75691,https://www.ajsfinefoods.com/,Retail Store,,,,,
8,AJ's Fine Foods - Tucson,,"2805 E Skyline Dr, Tucson, AZ 85718",Arizona,(520) 232 6340,Tucson,32.32638,-110.9126,https://www.ajsfinefoods.com/,Retail Store,,,,,
9,Andaz Scottsdale,,"6114 N Scottsdale Rd, Scottsdale, AZ 85253, USA",Arizona,(480) 368-1234,Phoenix,33.52728,-111.92904,https://www.andazscottsdale.com/,Retail Store,,,,,
10,Anello,,"222 E 6th St, Tucson, AZ 85705",Arizona,,Tucson,32.22744,-110.96805,https://anello.space/,Bar/Restaurant,,,,,
11,Annex Cocktail Lounge,,"50 S San Francisco St, Flagstaff, AZ 86001, USA",Arizona,(928) 779-2811,Flagstaff,35.195585,-111.64865,https://www.annexcocktaillounge.com/,Bar/Restaurant,,,,,
12,Arizona Country Club,,"5668 E Orange Blossom Ln, Phoenix, AZ 85018",Arizona,(480) 889-1505,Phoenix,33.4859,-111.9657,https://www.azcountryclub.com,Bar/Restaurant,,,,,
13,Atria,,"103 N Leroux St, Flagstaff, AZ 86001, USA",Arizona,(928) 440-4377,Flagstaff,35.19874,-111.64874,https://www.atriarestaurant.com/,Bar/Restaurant,,,,,
14,AZ Wilderness DTPHX,,"201 E Roosevelt St, Phoenix, AZ 85004",Arizona,(480) 462 1836,Phoenix,33.458611,-112.071228,https://www.azwbeer.com/dtphx/,Bar/Restaurant,,,,,
15,Bacanora,,"1301 NW Grand Ave Unit 1, Phoenix, AZ 85004, USA",Arizona,(602) 612-4018,Phoenix,33.45714,-112.089867,https://www.bacanoraphx.com/,Bar/Restaurant,,,,,
16,Bar Bata,,"35 E Toole Ave, Tucson, AZ 85701",Arizona,(520) 367-4718,Tucson,32.22626,-110.97079,https://www.batatucson.com/,Bar/Restaurant,,,,,
17,Bata,,"35 E Toole Ave, Tucson, AZ 85701",Arizona,(520) 367-4718,Tucson,32.22626,-110.97079,https://www.batatucson.com/,Bar/Restaurant,,,,,
18,Bear & Dragon,,"334 S Montezuma St, Prescott, AZ 86303",Arizona,(928) 445-4333,Prescott,34.53666,-112.47075,https://www.beardragon.cafe/,Bar/Restaurant,,,,,
19,Beaver St. Liquors,,"824 N Beaver St, Flagstaff, AZ 86001, USA",Arizona,(928) 774-8502,Flagstaff,35.20596,-111.64611,https://beaverstliquor.com/,Retail Store,,,,,
20,Beginner's Luck,,"7240 E Main St, Scottsdale, AZ 85251",Arizona,(480) 571-0416,Phoenix,33.4934,-111.9241,https://www.beginnersluckaz.com/,Bar/Restaurant,,,,,
21,Belly,,"4971 N 7th Ave, Phoenix, AZ 85007, USA",Arizona,(602) 296-4452,Phoenix,33.50882,-112.082165,https://www.bellyphx.com/,Bar/Restaurant,,,,,
22,Belly - Gilbert,,"3150 E Ray Rd, Gilbert, AZ 85296",Arizona,(480) 500 6464,Phoenix,33.32205,-111.72333,https://www.bellyphx.com/,Bar/Restaurant,,,,,
23,Belly Kitchen & Bar - Gilbert,,"3150 E Ray Rd #180, Gilbert, AZ 85296",Arizona,(480) 500-6464,Phoenix,33.3221,-111.7238,https://www.bellyphx.com/gilbert/belly-gilbert,Bar/Restaurant,,,,,
24,BevMo (Chandler),,"6705 W Happy Valley Rd, Chandler, AZ 85249",Arizona,(480) 821-2500,Phoenix,33.265892,-111.820847,https://www.bevmo.com/stores/chandler-az,Retail Store,,,,,
25,BevMo (Glendale),,"6780 W Bell Rd, Glendale, AZ 85308",Arizona,(623) 334-3017,Phoenix,33.638233,-112.202145,https://www.bevmo.com/stores/glendale-az,Retail Store,,,,,
26,BevMo (Goodyear),,"15405 W McDowell Rd, Goodyear, AZ 85395",Arizona,(623) 537-2300,Phoenix,33.461222,-112.391362,https://www.bevmo.com/stores/goodyear-az,Retail Store,,,,,
27,BevMo (Happy Valley),,"2501 W Happy Valley Rd, Phoenix, AZ 85085",Arizona,(623) 581-6602,Phoenix,33.714493,-112.111245,https://www.bevmo.com/stores/phoenix-az,Retail Store,,,,,
28,BevMo (Peoria),,"2480 W Happy Valley Rd, Peoria, AZ 85085",Arizona,(623) 580-1145,Phoenix,33.714493,-112.111245,https://www.bevmo.com/stores/peoria-az,Retail Store,,,,,
29,BevMo (Scottsdale),,"3450 N Scottsdale Rd, Scottsdale, AZ 85251",Arizona,(480) 946-0591,Phoenix,33.483108,-111.924874,https://www.bevmo.com/stores/scottsdale-az,Retail Store,,,,,
